BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,EVENT_INDEX,VAULT_NUMBER,COLLATERAL_TYPE,URN_ADDRESS,DEBT_TO_COVER_AMOUNT,COLLATERAL_LIQUIDATED_AMOUNT,DAI_REPAYED_AMOUNT
14046952,2022-01-21T05:00:19Z,0xb6d24a6745b20b34943b09300b00e08bc13489ae2c077b0a438a419a3fb74eab,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0x635296fd4ef499b4442cdaf2d97c9244ab189db6,61,24752,ETH-B,0xb4e902194d118d26dc9082e27c6b6d1650544c0b,86589.06382,42.28464781,93957.86859
13300478,2021-09-26T09:00:31Z,0xe40008a5fb62d60fe99ad2dc73881cba71e7b8fdd8b0186de7ea1b340470eada,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0xc4c6dd7041ecb4255ba829bf6104ef20431ca1e4,50,24714,ETH-B,0xb5adf49255f790489d924f3501029af0f00ec962,724805.4204,358.68,772407.3551
14689770,2022-05-01T04:13:51Z,0x698afebebadd26066ec1d5ce7e038b972e1a5f743f09006f94da8d2690225d06,0x1121e7f863cdecc045c1c13abf4f20b3dd0c658a,0x405a832fb7de2e4955dbd33c73773bd188f5c77d,9,24714,ETH-B,0xb5adf49255f790489d924f3501029af0f00ec962,153505.7609,79.28992352,168555.7311
14051985,2022-01-22T00:00:00Z,0xe7aa19a866a3efff6997dabdd26fdaf8034b12f59d5751bd721dbc52f891fb55,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0x635296fd4ef499b4442cdaf2d97c9244ab189db6,64,24705,ETH-B,0x8ab16ef24e53edd6ee23097782d95f43518ddec7,1023997.17,559.4639757,1111291.508
14755244,2022-05-11T14:00:00Z,0x0658a5cf0fa00e396cfd16a2bbdaa17f646c3f1242ef52c2f9e0c502106b0be5,0x521752d41a21d027d09ebb0654e9541e3118439e,0x079c9895b1c8f70e843ea4cef3704a45fb1b82b4,64,24696,ETH-B,0x2e8981c50b6125babae64f8af17bf48c8d5403e8,249367.1463,158.7629435,274126.8953
14759408,2022-05-12T06:00:06Z,0xd18a543a3af2951ef3e3c48190806f6d2bc07759e8703da34153f3916fc538c1,0x521752d41a21d027d09ebb0654e9541e3118439e,0x079c9895b1c8f70e843ea4cef3704a45fb1b82b4,63,24685,ETH-B,0x17e3e9177b78ed68c1916b9ada1f8925363a0330,121160.2761,88.70465948,133199.4397
12594827,2021-06-08T16:00:07Z,0x785a3e81509e4eb4d4ce16cb508a65046705eca1542974affa64f9b918a163f7,0xf89e33835e0eb0e09666030695b674cdef466e53,0xe50749c33694f74a233ff67c46a942de2e945f89,92,24339,ETH-B,0x6841a1600911231cafa4f6b8781d1d13ba9674aa,23967.52412,13.57685172,25035.17
12684447,2021-06-22T14:07:01Z,0x91aa39b810c774255e7c57804e904813e2db2ddf4c3d6cf01c12e2ad46d1a890,0x1a7c5e18d3f9ae3e8664dd9cac9a1f1ad5bc707a,0x135954d155898d42c90d2a57824c690e0c7bef1b,21,24266,ETH-B,0xb63c71121ab6d404575ed6ebdfdde13bd6113f82,31850.76965,24.14751252,33389.56923
14955140,2022-06-13T09:00:00Z,0x80356aece9e58a80c7e8b029229bfb762f931bc4a0e645432b6b9edc0d85d3e8,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,303,24188,ETH-B,0x8923307849fea9877400fa6e34581d4354a7714e,38394.23716,41.37363233,42355.31282
14759154,2022-05-12T05:00:12Z,0xafd24b4b9eedcb51705089e1087c865da0159d594726e32f6d9e6d56dea11905,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,126,24131,ETH-B,0x29ab5780fb183e98c8351ab6615ec0ae861582ee,36924.13016,26.08115608,40593.11854
14756604,2022-05-11T19:00:05Z,0x458bc7b59e43d28baf0af9f2875c4114f186347f3fcf58607e1fd9814f40b8c6,0xeeda2e774b60a14b3edd74d1883b11eda80baef9,0x1fe55074309d8b6497a07b47f3ee6716d9552c81,110,24130,ETH-B,0x77244dfbeea7796f7db98bde95cd30487d99781f,37037.53867,24.28701039,40715.85578
13271735,2021-09-21T22:01:57Z,0xf2d931820cd3af7ef91315bf4e36ac0fbabd419a84833fc9809d938c8a12b57c,0x16dfbac74f649c06917d3a8ed4a8402ec76d9bd9,0x135954d155898d42c90d2a57824c690e0c7bef1b,221,24129,ETH-B,0x8be95375d7f703795b4f740a50e6cd2ab9781940,2974067.784,1470.123576,3167496.617
12490991,2021-05-23T14:07:14Z,0x6392b3b743736110da8c462079ceb6588a3daccf7a3d7422c8293c5491343227,0xd2c1b9b2edd04f03cd00b957fe04c5f4d9fbb88f,0x8717337d2755df53152897db31f61216ca5b3b31,40,23997,ETH-B,0x053a8a860b6fc0d10a95dc40be632e761cac5f92,57731.39541,38,60050.55781
14048006,2022-01-21T09:00:22Z,0xbac1fb5a9d519baa419416a72dc54fd3c25f578d793e62f96666fcf267a7015d,0xb70cb7680201e19683ecdd3f4926b17bcd48d5d1,0x635296fd4ef499b4442cdaf2d97c9244ab189db6,13,23989,ETH-B,0xd04b846984433556806b4c4f57455c96d3c8344e,67032.04543,33.08703515,72738.17266
