BLOCK_NUMBER,BLOCK_TIMESTAMP,VAULT_NUMBER,ILK,URN_ADDRESS
11230633,2020-11-10 15:40:19.000,16735,ETH-B,0x79f98a3f67096492db7288d8cdecb2721e08040f
11285331,2020-11-19 01:06:59.000,17021,ETH-B,0x4948bedc2e869210c0a0ba19b99b2a950aaf6c4d
11288032,2020-11-19 11:03:22.000,17038,ETH-B,0x238d90b6013c39ab64108d54ff48a0ff41ff7af6
11117766,2020-10-24 07:42:00.000,16123,ETH-B,0x346d55fb663b975eb90b844d62ea524de80457f4
11204166,2020-11-06 13:51:49.000,16584,ETH-B,0x45e595f6bbcab6d5e7c664cf7d58600350e4ee3e
11339740,2020-11-27 09:20:46.000,17465,ETH-B,0x36275d5d60acaf933fe2bafcbaaddf8e4f119f7d
11432251,2020-12-11 14:47:53.000,17913,ETH-B,0xc3afdac6270d7f5316f3a792f1ec75c888cc10c9
11258868,2020-11-14 23:29:00.000,16880,ETH-B,0xd269bf56f6f571430b93df0af5342bb839131467
11238114,2020-11-11 19:04:35.000,16766,ETH-B,0xce2b4b170dae864c5f0fd2b7fad3ca17c137ca3b
11394856,2020-12-05 20:34:53.000,17743,ETH-B,0x140bb673a0dabc71853421de47735ca9a6ffb9fd
11306845,2020-11-22 08:09:00.000,17185,ETH-B,0xd483015ddbc813b081d613495a515d74357e1503
11303268,2020-11-21 19:05:59.000,17143,ETH-B,0x426c2bb86b0e9f5fc5acf599eb37e5cf80c49ea8
11308476,2020-11-22 14:12:33.000,17205,ETH-B,0xb104d3efcffef975d8d25132941f6079eee8e016
11204023,2020-11-06 13:18:46.000,16582,ETH-B,0x6be619bd8a39351e07ba98df3649c6d43574b920
11362642,2020-11-30 21:40:58.000,17594,ETH-B,0xd37090eeb83e2f35a98b93be498517a34bd341cd
11288683,2020-11-19 13:25:47.000,17042,ETH-B,0x940a819938ec2206285039e2eb3308f89f777ca8
11333360,2020-11-26 10:10:56.000,17408,ETH-B,0xa1df0e680b552fa17ab551d492a7852485a06c71
11291071,2020-11-19 21:58:42.000,17065,ETH-B,0x1429f5aa988b4080fde86d39c440bbb0ac1a25f6
11401628,2020-12-06 21:33:22.000,17782,ETH-B,0xf7d05c003ddc2fc3d07ecdb472698fc3bf6f4f5d
11296115,2020-11-20 16:39:24.000,17091,ETH-B,0xca52f7af0845fd5e9b6ac547b32a7d4f9e06e4d2
11266576,2020-11-16 03:46:00.000,16920,ETH-B,0x24c459f44d7c9355e69cab026d49e40e637a4671
11270131,2020-11-16 17:02:24.000,16939,ETH-B,0x8ccf06b5bc250b2aa42524a2756dbed6f14caef6
11405592,2020-12-07 12:09:32.000,17798,ETH-B,0xefd74968e071757972faa92169118ece452b05f1
11153058,2020-10-29 17:31:06.000,16319,ETH-B,0x0255a3d0852181679897a191cf5f996643ac50a8
11314423,2020-11-23 12:11:40.000,17246,ETH-B,0x99ed27b34c70681d992537f2fe7d370a7c8874ec
11314230,2020-11-23 11:29:20.000,17242,ETH-B,0xd1fa25cf8405fa6d1555c3bf887c41035ff5a4ac
11379505,2020-12-03 12:02:16.000,17675,ETH-B,0xdf3eab8ffae2607a8200dfeedfa2fbee97ea03cb
11294694,2020-11-20 11:25:13.000,17080,ETH-B,0x30150815f8a693a9bbb64204bf27a0781ffb938c
11204134,2020-11-06 13:43:48.000,16583,ETH-B,0x0f8e04c6a4c09ef4311fe355d3507b1c8b776b85
