"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2021-01-27,5142056.56253032,5161515.48735908,0,-19458.9248287585,49799597.2172094,0.065,8868.42142224277,1355.233724,61.6010192410831,"in-between"
2021-01-28,357298.427838832,287423.017284321,0,69875.410554511,49869472.6277639,0.065,8880.8649885059,1253.141672,55.2716503484282,"in-between"
2021-01-29,2928379.27421801,3564653.30729582,0,-636274.033077808,49233198.5946861,0.065,8767.55591412218,1328.773619,58.6603807117274,"in-between"
2021-01-30,692096.645067699,73231.020695314,0,618865.624372385,49852064.2190585,0.065,8877.76486092822,1380.284259,60.8366390289608,"in-between"
2021-01-31,261500,447311.696875529,0,-185811.696875529,49666252.5221829,0.065,8844.67510669011,1372.427229,60.3150650451397,"in-between"
2021-02-01,248000,101357.13090343,0,146642.86909657,49812895.3912795,0.065,8870.78959022786,1317.047436,56.6297632907884,"in-between"
2021-02-02,2000597.031275,4157786.28445047,0,-2157189.25317547,47655706.138104,0.065,8486.63259993633,1368.664455,59.1359582242199,"in-between"
2021-02-03,2166016.13157406,0,0,2166016.13157406,49821722.2696781,0.065,8872.36150007966,1514.225196,65.2366692886263,"in-between"
2021-02-04,146621.43226,162725.793777257,0,-16104.361517257,49805617.9081608,0.065,8869.49360008344,1661.000824,70.0862517128651,"Overbought"
2021-02-05,229137.903700501,236232.967578724,0,-7095.06387822301,49798522.8442826,0.065,8868.23009555718,1587.800899,65.2010873972278,"in-between"
2021-02-06,1466141.61655469,1471921.6684617,0,-5780.05190701317,49792742.7923756,0.065,8867.20077124497,1724.856908,69.4892509427813,"in-between"
2021-02-07,766697,649278.18719216,133997.032912465,-16578.2201046251,49776164.572271,0.065,8864.24848547291,1683.941298,66.8412046797289,"in-between"
2021-02-08,1126460.63371912,1127681.28169801,0,-1220.64797888999,49774943.9242921,0.065,8864.03110980544,1608.640548,62.1473915244618,"in-between"
2021-02-10,1804704.42234047,1823223.66028228,0,-18519.2379418148,49756424.6863503,0.065,8860.73316332265,1769.053534,67.4385868399907,"in-between"
2021-02-11,124831.745898639,139899.371255596,0,-15067.625356957,49741357.0609933,0.065,8858.04988757415,1739.164209,65.4776969268755,"in-between"
2021-02-12,289880.27832595,292037.031271541,0,-2156.752945591,49739200.3080477,0.065,8857.66580828247,1782.508869,66.9772510685605,"in-between"
2021-02-13,518052.94924659,5529051.37268793,0,-5010998.42344134,44728201.8846064,0.065,7965.2962260258,1841.197751,68.9442721783427,"in-between"
2021-02-14,5002180.28860428,31815.733696655,0,4970364.55490763,49698566.439514,0.065,8850.42963991346,1810.842546,66.7302569075466,"in-between"
2021-02-15,88500,85752.135206959,0,2747.86479304099,49701314.3043071,0.075,10212.5988296521,1804.984146,66.2878247121895,"in-between"
